,song_title,artist,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,tempo,valence
0,Mask Off,Future,0.0102,0.833,204600,0.434,0.0219,-8.795,150.062,0.286
1,Redbone,Childish Gambino,0.199,0.743,326933,0.359,0.00611,-10.401,160.083,0.588
2,Xanny Family,Future,0.0344,0.838,185707,0.412,0.000234,-7.148,75.044,0.173
3,Master Of None,Beach House,0.604,0.494,199413,0.338,0.51,-15.236,86.468,0.23
4,Parallel Lines,Junior Boys,0.18,0.678,392893,0.561,0.512,-11.648,174.004,0.904
5,Sneakin’,Drake,0.00479,0.804,251333,0.56,0.0,-6.682,85.023,0.264
6,Childs Play,Drake,0.0145,0.739,241400,0.472,7.27e-06,-11.204,80.03,0.308
7,Gyöngyhajú lány,Omega,0.0202,0.266,349667,0.348,0.664,-11.609,144.154,0.393
8,I've Seen Footage,Death Grips,0.0481,0.603,202853,0.944,0.0,-3.626,130.035,0.398
9,Digital Animal,Honey Claws,0.00208,0.836,226840,0.603,0.0,-7.792,99.994,0.386
10,Subways - In Flagranti Extended Edit,The Avalanches,0.0572,0.525,358187,0.855,0.0143,-7.372,111.951,0.524
11,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,0.0915,0.753,324880,0.748,0.00348,-8.62,104.322,0.642
12,Cemalim,Erkin Koray,0.253,0.603,356973,0.434,0.0619,-11.062,127.681,0.381
13,One Night,Lil Yachty,0.366,0.762,243270,0.476,0.0,-12.686,130.007,0.367
14,Oh lala,PNL,0.44,0.662,247288,0.603,0.0,-8.317,125.011,0.351
15,Char,Crystal Castles,0.019,0.637,188333,0.832,0.0563,-6.637,99.988,0.317
16,World In Motion,New Order,0.0239,0.603,270827,0.955,0.0451,-4.111,123.922,0.773
17,One Nation Under a Groove,Funkadelic,0.233,0.789,447907,0.659,0.00049,-12.654,122.415,0.842
18,Bouncin,Chief Keef,0.314,0.713,195429,0.611,0.0,-6.702,140.061,0.783
19,C O O L - Radio Edit,Le Youth,0.0242,0.735,214347,0.759,0.185,-6.914,109.982,0.763
20,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,0.000702,0.854,249253,0.719,0.308,-9.335,128.049,0.471
21,House of Jealous Lovers,The Rapture,0.00024,0.747,307680,0.74,0.369,-4.134,130.031,0.77
22,Imma Ride,Young Thug,0.118,0.854,287086,0.401,0.0,-8.553,139.922,0.441
23,Girlfriend,Ty Segall,0.000596,0.224,132760,0.925,1.35e-06,-1.71,138.022,0.364
24,If I Gave You My Love,Myron & E,0.279,0.512,203400,0.564,1.54e-05,-5.892,94.498,0.401
25,This Ready Flesh,TR/ST,0.00219,0.781,205160,0.795,0.269,-6.758,109.977,0.795
26,Lose My Mind,A-Trak,0.341,0.411,199500,0.684,1.42e-06,-6.889,110.016,0.598
27,Char,Crystal Castles,0.018,0.646,188333,0.837,0.0403,-6.615,100.04,0.32
28,Look Alive,Rae Sremmurd,0.0516,0.782,228562,0.572,0.0,-7.467,120.021,0.237
29,Please Stop Making Fake Versace,Father,0.282,0.735,186096,0.4,0.125,-12.766,129.004,0.326
30,Milly Rock,2milly,0.00791,0.45,220934,0.449,0.0,-12.037,135.45,0.137
31,Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,0.0219,0.897,285240,0.642,1.31e-06,-8.828,127.984,0.27
32,Best Friend,Young Thug,0.0358,0.959,213000,0.598,0.0,-5.534,127.029,0.424
33,Hercules,Young Thug,0.0324,0.742,280831,0.559,0.0,-5.876,146.923,0.429
34,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,0.118,0.805,232880,0.687,0.0,-7.771,119.999,0.683
35,Check,Young Thug,0.0428,0.667,230693,0.581,0.0,-5.164,110.953,0.372
36,Poppin' My Collar,Three 6 Mafia,0.297,0.722,175613,0.823,0.0,-3.916,148.23,0.855
37,Jumpman,Drake,0.0565,0.853,205879,0.547,0.0,-7.535,142.065,0.677
38,7/11,Beyoncé,0.0128,0.747,213507,0.705,0.0,-5.137,136.024,0.571
39,Somebody's Watching Me,Rockwell,0.135,0.777,237187,0.591,5.5e-05,-7.431,124.111,0.848
40,Bang That,Disclosure,0.00041,0.731,324541,0.852,0.625,-6.08,125.008,0.622
41,I Don't Sell Molly No More,ILoveMakonnen,0.00356,0.76,186122,0.402,0.0,-8.751,147.028,0.069
42,Versace Python,Riff Raff,0.00156,0.624,183000,0.792,1.54e-06,-5.33,139.94,0.318
43,Monster,Kanye West,0.00243,0.621,378893,0.683,0.00856,-5.619,124.283,0.0891
44,OOOUUU,Young M.A.,0.533,0.64,234526,0.819,0.0,-4.108,166.012,0.624
45,Return Of The Mack - C & J Street Mix,Mark Morrison,0.00631,0.715,213093,0.833,0.0,-5.379,95.487,0.607
46,Fantastic Man,William Onyeabor,0.00182,0.7,386160,0.756,0.711,-10.714,114.28,0.947
47,Right Place Wrong Time,Dr. John,0.0923,0.789,175240,0.494,0.000408,-13.702,104.593,0.832
48,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,0.375,0.796,252547,0.86,0.00457,-6.202,129.008,0.973
49,Odofo Nyi Akyiri Biara,Ebo Taylor,0.183,0.716,576888,0.957,0.058,-4.814,106.714,0.93
50,Annie,Neon Indian,0.0185,0.74,241341,0.846,0.0624,-6.039,95.995,0.852
51,The Chase,Future Islands,0.0638,0.7,224480,0.84,0.112,-6.227,132.475,0.745
52,Coming Home,Leon Bridges,0.456,0.514,215613,0.453,0.000181,-7.062,75.548,0.532
53,Wishes,Beach House,0.128,0.313,286960,0.77,0.0787,-7.265,74.749,0.186
54,White Iverson,Post Malone,0.246,0.676,254769,0.528,0.0,-8.699,130.073,0.301
55,I Know There's Gonna Be (Good Times),Jamie xx,0.12,0.532,213622,0.596,0.0,-9.912,119.296,0.486
56,Loud Places,Jamie xx,0.00426,0.646,283067,0.629,0.277,-10.775,109.013,0.176
57,L$D,A$AP Rocky,0.193,0.598,238307,0.252,0.138,-15.086,120.06,0.0359
58,Dopeman,Vince Staples,0.0174,0.754,113373,0.442,9.4e-05,-8.873,148.04,0.599
59,California Nights,Best Coast,0.000392,0.294,311360,0.786,0.865,-3.626,81.108,0.136
60,Baby,Ariel Pink's Haunted Graffiti,0.435,0.622,287427,0.253,0.471,-14.36,92.584,0.328
61,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",0.257,0.559,225347,0.656,0.000171,-8.699,79.638,0.671
62,Fail to Cry,Yacht Club,0.000145,0.54,293646,0.945,0.753,-6.64,92.995,0.87
63,Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man,0.273,0.793,232251,0.7,0.0,-6.641,140.058,0.887
64,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,0.374,0.549,223720,0.715,3.5e-06,-11.164,82.118,0.785
65,Sentimental Trash,Sweet Valley,0.00266,0.557,186397,0.607,0.771,-10.088,73.061,0.259
66,Get Away,CHVRCHES,0.000546,0.597,279240,0.444,0.051,-8.39,120.074,0.361
67,Look At Wrist,Father,0.00781,0.879,213786,0.512,1.45e-05,-7.83,127.95,0.277
68,Our Love,Caribou,0.125,0.726,334173,0.497,0.89,-10.742,125.004,0.472
69,I Ain't Trippin off Nothin,Ezale,0.00158,0.857,134062,0.831,0.0,-4.664,106.059,0.251
70,They Don't Know - Original Mix,Disciples,0.0132,0.807,330920,0.778,0.666,-5.485,120.001,0.797
71,Sabali,Amadou & Mariam,0.783,0.596,196627,0.639,0.569,-6.546,124.012,0.197
72,Spooky,Dusty Springfield,0.518,0.683,155133,0.708,2.08e-05,-6.852,106.446,0.967
73,Pick Up The Pieces,Average White Band,0.0548,0.768,239908,0.853,0.13,-5.915,107.234,0.887
74,Have Love Will Travel,The Sonics,0.727,0.506,160400,0.948,0.0,-5.626,130.195,0.936
75,Capitol,TR/ST,0.000313,0.457,293533,0.918,0.000215,-5.295,105.018,0.297
76,Uncast Shadow Of A Southern Myth,Parquet Courts,0.34,0.468,386760,0.58,0.821,-8.131,76.27,0.324
77,I Shall Be Released - Remastered,Nina Simone,0.47,0.537,232453,0.447,1.86e-05,-8.261,84.362,0.549
78,Words I Don't Remember,How To Dress Well,0.855,0.515,378253,0.217,0.463,-13.382,80.015,0.194
79,To The Top,Twin Shadow,0.00502,0.429,196933,0.725,1.54e-05,-6.156,82.925,0.174
80,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,0.555,0.791,187210,0.58,0.00155,-8.377,81.678,0.733
81,Aquafina (feat. GoldLink & Chaz French),Falcons,0.186,0.711,221350,0.705,0.0,-6.248,144.053,0.403
82,Hot Blur,How Sad,0.0249,0.683,201049,0.824,0.627,-8.569,154.008,0.921
83,Summer Madness,Kool & The Gang,0.0108,0.309,257867,0.325,0.854,-16.4,175.88,0.46
84,The Payback,James Brown,0.193,0.867,460400,0.733,0.000219,-7.54,97.835,0.761
85,I'm In Love,Fool's Gold,0.0192,0.619,275533,0.734,0.263,-9.366,106.034,0.853
86,I Need You Tonight,Punkin Machine,0.00776,0.898,429897,0.5,0.292,-11.089,122.281,0.868
87,Everybody Likes Something Good,Ify Jerry Crusade,0.17,0.589,206240,0.745,0.000406,-8.109,99.407,0.76
88,Dadje Von O Von Non,Gnonnas Pédro,0.0221,0.606,234987,0.668,1.65e-05,-9.168,158.859,0.958
89,Sugah Daddy,D'Angelo,0.0397,0.786,302840,0.547,0.272,-11.416,92.603,0.68
90,International Players Anthem,Swishahouse,0.0213,0.734,321933,0.548,0.0,-9.682,128.289,0.72
91,Swerve,ILoveMakonnen,0.0454,0.812,268421,0.676,0.0,-4.502,114.047,0.399
92,Look At Wrist,Father,0.00672,0.876,213246,0.606,1.06e-05,-5.471,127.975,0.249
93,Let It Happen,Tame Impala,0.00488,0.601,467587,0.873,0.0365,-5.866,124.997,0.566
94,My Way (feat. Monty),Fetty Wap,0.00419,0.748,213053,0.741,0.0,-3.103,128.077,0.533
95,Walk,Kwabs,0.17,0.615,214150,0.814,0.0,-3.903,144.005,0.601
96,The Magnificent Seven - Remastered,The Clash,0.0604,0.799,333520,0.789,0.0,-8.208,116.081,0.833
97,NOBO,Tijuana Panthers,0.0571,0.398,247390,0.776,0.0172,-7.388,110.815,0.689
